company_name,top_skills
AT&T,"agile, automation, collaboration, collaboration, cybersecurity, devops, express, hadoop, java, javascript, kafka, kubernetes, planning, programming, react, scripting, spark, testing, spring"
Amazon,"programming"
Adobe,"communication, kafka, leadership, programming, python, spark, typescript, problemsolving,"
Airbnb,"innovation, innovation, javascript, leadership, react, testing"
Akamai Technologies,"innovation, programming, virtualization, flexibility"
Allstate,"agile, collaboration, devops, java, leadership, microservices, nosql, planning, programming, react, spring, testing, writing"
Amazon Web Services (AWS),"innovation, collaboration, programming, creativity"
Apple,"programming, communication, testing, leadership"
Cisco,"automation, communication, debugging, go, initiative, interpersonal, java, javascript, networking, planning, presentation, problemsolving, programming, python, react, spring, typescript, vue"
Capital One,"agile, automation, collaboration, communication, cybersecurity, docker, go, java, javascript, kafka, kotlin, kubernetes, leadership, microservices, nodejs, nosql, programming, python, spark, spring, sql, swift, testing, typescript"
Caterpillar Inc.,"agile, algorithms, automation, communication, decisionmaking, devops, innovation, java, nosql, organization, planning, programming, spark, testing, writing"
Chewy,"agile, collaboration, communication, debugging, leadership, planning, programming, terraform, testing, writing, innovation"
Citi,"writing, agile, microservices, spring, presentation, testing"
Cloudflare,"automation, communication, debugging, empathy, go, interpersonal, javascript, networking, organization, programming, react, rust, sql, typescript, writing"
Coinbase,"testing, presentation"
CrowdStrike,"cybersecurity, innovation, flexibility, python, go, java, collaboration, testing, c, writing"
Boeing,"agile, algorithms, c, collaboration, communication, leadership, programming, sql, testing, testing, hardware,"
Bloomberg,"pytorch, machinelearning, leadership, programming, algorithms"
Baxter International Inc.,"automation, communication, debugging, devops, flexibility, interpersonal, scripting, teamwork, organization"
Barrett-Jackson Auction Company,"aspnet, collaboration, communication, devops, interpersonal, java, problemsolving, programming, sql"
ByteDance,"creativity, debugging, django, hardware, javascript, nosql, problemsolving, programming, sql, testing, virtualization, writing, creativity"
Box,"collaboration"
Booz Allen Hamilton,"automation, flexibility, leadership, microservices, php, programming, scripting, sql, testing, agile"
Capital Staffing Solutions, Inc.,"collaboration, javascript, react, communication, problemsolving, typescript"
Cognizant Technology Solutions,"programming, testing, agile, java, javascript, python, cloud, automation"
Google,"algorithms, hardware, java, leadership, networking, organization, planning, programming, python, sql"
JPMorgan Chase & Co.,"agile, algorithms, automation, debugging, decisionmaking, innovation, java, planning, programming, programming, park, spring, sql, testing"
Goldman Sachs,"communication, innovation, kafka, kubernetes, leadership, planning, problemsolving, python, spring, programming"
GitHub,"communication, leadership, programming, ruby, organization"
Dropbox,"debugging, python"
Equifax,"agile, angular, css, go, javascript, jenkins, leadership, microservices, presentation, programming, sql, terraform, communication"
FanDuel,"agile, devops, hardware, innovation, java, programming, react, terraform, testing, writing, testing"
Fidelity Investments,"agile, angular, automation, collaboration, communication, debugging, devops, go, java, jenkins, leadership, organization, problemsolving, programming, python, spring, sql, testing, writing"
Grammarly,"algorithms, collaboration, debugging, java, javascript, programming, python, react, testing, typescript, writing, collaboration"
Honeywell,"agile, algorithms, collaboration, communication, decisionmaking, hardware, innovation, interpersonal, leadership, organization"
GE Aerospace,"planning, communication, hardware"
GE HealthCare,"algorithms, c, communication, java, leadership, organization, planning, testing, writing, agile"
Garmin,"ansible, automation, c, jenkins, python, scripting, testing, virtualization, devops"
General Motors,"angular, communication, containerization, css, devops, docker, flexibility, flexibility go, innovation, java, kubernetes, leadership, networking, organization, presentation, problemsolving, programming, python, react, spring, sql, testing, writing"
General Dynamics Mission Systems,"agile, c, containerization, docker, innovation, java, leadership, networking, problemsolving, python, testing, cybersecurity"
Equity Residential,"collaboration, communication, devops, organization, programming, sql, writing,"
Esri,"c, algorithms, communication"
Exarca Inc.,"java, scripting, python"
Epiroc,"testing, communication, innovation"
Ecovation,"planning, communication, organization"
Ecolab,"organization, testing, programming, problemsolving, communication, interpersonal, initiative"
Fanatics,"agile, automation, c, leadership, nosql, organization, organization, problemsolving, programming, testing"
FIS,"agile, ansible, automation, collaboration, communication, debugging, devops, innovation, java, jenkins, kubernetes, microservices, programming, python, sql, teamwork, testing, typescript"
Ford Motor Company,"agile, angular, automation, collaboration, communication, devops, docker, interpersonal, java, jenkins, leadership, microservices, nosql, organization, planning, problemsolving, programming, python, react, scripting, spring, sql, teamwork, terraform, testing, writing"
LinkedIn,"programming, python, collaboration, go, innovation, rust, communication"
Leidos,"agile, testing, devops, java, programming, scripting, algorithms, sql, nosql, leadership"
MIB,"automation, agile, programming, spring, organization, innovation, communication, java, react, testing"
