company_name,top_skills
Vertex Inc.,"leadership, communication, devops, planning, programming, docker, c, python, agile"
"Curtis Instruments, A Kohler Co.","communication, flexibility, testing, debugging, interpersonal"
Wells Fargo,"java, agile, automation, sql, angular, devops, c, kubernetes, testing, spring"
Freddie Mac,"c, testing, programming, collaboration, python"
Skillable,"testing, agile, react, teamwork, organization"
Maxim Healthcare Staffing,"communication, organization, interpersonal, c, sql, programming, scripting"
Neighborly Software,"agile, collaboration, programming, javascript"
Publix Super Markets,"leadership, sql, ansible, kafka, collaboration, teamwork, java, scripting, spring, kubernetes"
Tailored Management,"communication, interpersonal, testing, hardware"
Braze,"resilience, communication, agile"
Bloomberg,"pytorch, machinelearning, leadership, programming, algorithms"
Hirexa Solutions,"agile, spring, java, kubernetes, sql, writing, terraform, initiative"
Mainspring Energy,"hardware, programming, communication, testing"
FastTek Global,"agile, go, testing, communication, sql, interpersonal"
Exact Sciences,"creativity, testing, sql"
Axon,"problemsolving, collaboration, c, writing, javascript, empathy, planning, sql, nosql, programming"
Ascendum Solutions,"debugging, scripting, sql, programming, writing"
Real Time Consulting LLC (RTC),"teamwork, communication, initiative, interpersonal, testing, innovation"
Experis,"agile, programming, testing, scripting, communication, writing, problemsolving, angular, sql, nosql"
Crunchyroll,"collaboration, testing, html, react"
Capella University,"motivation, writing, debugging, programming, automation, organization, communication"
SimplyApply,"programming, nosql, docker, agile, kafka, javascript, css, php, flask, communication"
Prestige Staffing,"spring, microservices, java, communication"
Ria Money Transfer,"angular, c, programming, bootstrap, agile, problemsolving, communication, collaboration"
StubHub,"initiative, innovation, organization, creativity, programming, swift, flexibility"
Wolters Kluwer,"agile, flexibility, automation, programming, c, sql"
Lakera,"devops, python"
Liberty Mutual Insurance,"agile, devops, python, adaptability, programming"
Incident IQ,"c, writing, aspnet, testing, sql, programming, devops, debugging, problemsolving"
BigRio,"angular, leadership, sql, testing, innovation, agile, planning, javascript, css, bootstrap"
INFY8,"programming, sql"
TIDAL,"teamwork, leadership, collaboration, java, blockchain, go"
Reflex,"python, communication, go"
Comcentia,"testing, communication, devops, writing, interpersonal, hardware"
Complete Staffing Solutions,"cybersecurity, python"
CNA Search,"testing, javascript, writing, sql, aspnet, c, programming, java, php, angular"
Benchling,"organization, planning, automation, devops, terraform, kubernetes, microservices, testing, communication"
Protingent,"communication, testing, programming, hardware"
Ace Hardware Corporation,"hardware, swift, java, communication, collaboration, sql, organization"
aKUBE,"devops, automation, javascript, agile"
Thomson Reuters,"organization, java, programming, sql, communication, agile"
Joby Aviation,"hardware, c, writing, communication, python"
Alphatec Spine,"c, communication, testing, programming, presentation, sql, devops, agile, scripting, java"
EarnIn,"flexibility, leadership, communication"
State Farm,"communication, initiative, testing, agile, react, microservices, organization, terraform, interpersonal, java"
"Elegant Enterprise-Wide Solutions, Inc.","communication, agile, networking, testing, programming, algorithms, debugging, hardware"
Nyla Technology Solutions,"writing, agile, devops, testing"
Certara,"agile, collaboration, leadership, hardware"
Ask IT Consulting Inc.,"c, vue"
Georgia Tech Research Institute,"hardware, programming, problemsolving, algorithms, organization, leadership, communication, testing, debugging"
Verdant Robotics,"testing, writing, bash, jenkins, docker"
Epiroc,"testing, communication, innovation"
BioSpace,"testing, collaboration, planning, leadership, typescript, angular, nosql, automation, writing, debugging"
Watershed,"react, typescript, nodejs, planning, go"
BitGo,"blockchain, testing, microservices, react, docker"
Wisk,"communication, containerization"
Info Way Solutions,"c, debugging, cybersecurity, testing, innovation, writing, sql, programming"
Fivetran,"sql, react, kubernetes, debugging, leadership, programming, java"
Qentelli,"automation, sql, problemsolving, c, jenkins, programming, java, python, agile, communication"
Draper,"innovation, communication"
DataAnnotation,"programming, c, flexibility, writing"
Chick-fil-A Corporate Support Center,"collaboration, devops, programming, agile, interpersonal"
A2C,"java, sql, testing, agile, communication, microservices"
Dataminr,"programming, leadership"
Vive Financial,"devops, sql, communication, problemsolving"
iO Associates - US,"organization, teamwork, programming, kotlin, microservices"
Soni,"organization"
Honeywell,"communication, innovation, algorithms, organization, interpersonal, leadership, hardware, decisionmaking, agile, collaboration"
AuxHealth,"python, sql, flexibility"
Collins Aerospace,"networking, agile, communication, c, debugging"
Allstate,"spring, java, testing, agile, planning, programming, writing, leadership, nosql, devops"
Barrington James,"communication, leadership, agile"
Hyqoo,"kubernetes, communication, programming, go, problemsolving, teamwork"
Robinhood,"organization, kubernetes, networking, debugging, microservices, communication, collaboration"
Apex Systems,"java, spring, testing, react, agile, angular, programming, leadership, containerization, debugging"
Baxter International Inc.,"organization, teamwork, debugging, automation, interpersonal, communication, devops, scripting, flexibility"
Table4,"algorithms"
Dropbox,"debugging, python"
Litera,"communication, leadership, sql, testing"
Renewed Vision,"c, communication"
"Qorvo, Inc.","testing, problemsolving, communication, collaboration"
Diverse Lynx,"writing, java, spring, angular, agile, microservices, communication"
Rocket Lab,"hardware, testing, devops, c, bash, scripting, agile, communication, python, typescript"
BAI,"devops, programming, testing, sql, c, javascript, scripting, teamwork"
NextCreator,"programming, problemsolving, communication, collaboration"
Argus Labs,"programming, testing, problemsolving, blockchain"
Costco Wholesale,"sql, java, testing, automation, communication, planning, react, problemsolving, javascript"
Higher Ground LLC,"programming, agile, django, docker"
Ampstek,"programming, c"
Understanding Recruitment,"javascript, c, typescript, react, innovation, python, docker, kubernetes, sql, blockchain"
ZoomInfo,"java, nodejs, sql, microservices, interpersonal"
ARK InfoTech Spectrum Pvt. Ltd.,"c, java, communication, programming, testing, debugging"
The University of Texas at Austin,"hardware, testing, problemsolving, programming, communication, planning, debugging, scripting, python"
maven,"programming, c, javascript, go, python"
Evinova,"spring, devops, nosql, angular, typescript, problemsolving"
Origin AI,"communication, problemsolving, algorithms, networking, hardware"
Coinbase,"testing, presentation"
Storm4,"programming, hardware, typescript, nodejs, react, devops"
HIRECLOUT,"agile, sql, writing, testing, problemsolving, communication, programming, nodejs, css, bootstrap"
WEX,"agile, flexibility, go, writing, encryption, typescript, docker, devops"
