industry_name,top_skills
Advertising Services,"collaboration, automation, resilience, css, javascript, python, c#, sql, agile, virtualization, containerization, writing, devops, debugging, programming, leadership, devops, agile, flexibility, go agile, leadership, writing, nosql, java, cybersecurity, innovation, agile, collaboration, go, writing, sql, docker"
Agricultural Chemical Manufacturing,"initiative, leadership, writing, agile"
Airlines and Aviation,"organization, programming, debugging, programming, programming, problem-solving, teamwork writing, c++, hardware, hardware, hardware, hardware, c++, communication, python"
"Appliances, Electrical, and Electronics Manufacturing","innovation, communication organization, interpersonal, communication, leadership innovation, algorithms, decision-making, innovation, agile, collaboration flexibility, testing, debugging, communication, interpersonal, communication hardware, testing, scripting, leadership, testing algorithms, hardware innovation, agile, microservices, java algorithms, planning, programming, c#, java, networking, scripting, communication, agile flexibility, c++, hardware  organization, organization, agile"
Automation Machinery Manufacturing,"python, automation, programming, sql, sql, automation testing, testing, bash, writing, jenkins, docker, writing"
Automotive,"testing, typescript, communication, c++, innovation testing, typescript, communication, c++, innovation"
Aviation and Aerospace Component Manufacturing,"java, writing, interpersonal, communication, agile networking, networking, agile, c++, agile, agile, communication networking, networking, agile, c++, networking, communication, debugging, agile, agile, communication hardware, python, typescript, javascript, python, kubernetes hardware, devops, testing, testing, c++, bash, scripting, agile, communication planning, hardware, communication, communication, planning communication, containerization, communication, communication"
Banking,"agile, testing, agile, agile, agile flexibility, agile, devops, writing, collaboration, agile, devops, problem-solving microservices, automation"
Biotechnology,"innovation, innovation, collaboration, communication"
Biotechnology Research,"innovation, hardware, programming, collaboration, problem-solving, agile, c++, c#, programming initiative, organization, leadership, programming, scripting, python, docker, agile, hardware, testing"
Book and Periodical Publishing,"organization, organization, adaptability, containerization, testing, testing, terraform"
Broadcast Media Production and Distribution,"innovation, programming programming, problem-solving, communication, collaboration"
Business Consulting and Services,"java, innovation c++, programming, c++, communication, interpersonal, c++, c++, innovation hardware, programming, organization, debugging, communication, innovation c++, agile, innovation testing, innovation hardware, automation, testing, python, programming networking, testing, testing, innovation networking, debugging, rust, hardware, c++, innovation communication, testing, testing, writing, automation, innovation agile, collaboration, leadership, hardware writing, testing, writing, programming, writing, devops, innovation python, testing, c++, communication, python, testing, innovation"
Chemical Manufacturing,"organization, testing, programming, problem-solving, communication, interpersonal, organization, initiative"
Civil Engineering,"java, agile, docker, java, programming, c++"
Computer Games,"planning, programming, communication, networking sql, c#, networking, networking, agile sql, c#, networking, networking, agile sql, c#, networking, networking, agile testing, programming, problem-solving, blockchain, programming"
Computer Hardware Manufacturing,"problem-solving hardware, communication, teamwork, rust"
Computer Networking,"networking, automation, testing, testing, leadership, planning, automation, python, programming, organization"
Computer Networking Products,"networking, networking, programming, testing, networking, kubernetes, networking, networking, networking, debugging"
Computer and Network Security,"networking, programming, networking, networking testing, testing, agile, communication innovation, cybersecurity, flexibility, kubernetes, algorithms, communication, programming, go, node.js, testing, communication, innovation, collaboration, innovation algorithms, innovation, communication, python, nosql cybersecurity, cybersecurity, leadership, collaboration, devops, leadership, programming, python, kubernetes algorithms, innovation, communication, python, nosql  cybersecurity, cybersecurity, flexibility, collaboration, flexibility, innovation, collaboration, teamwork, devops, programming, collaboration, communication, cybersecurity, cybersecurity cybersecurity, cybersecurity, flexibility, collaboration, flexibility, innovation, java, angular, nosql, testing cybersecurity, organization, python, ruby, testing, programming cybersecurity, cybersecurity, collaboration, python, problem-solving, leadership, collaboration, communication cybersecurity, cybersecurity, flexibility, collaboration, flexibility, innovation, cybersecurity, programming, cybersecurity, cybersecurity cybersecurity, cybersecurity, flexibility, collaboration, flexibility, innovation, cybersecurity, programming, cybersecurity, cybersecurity cybersecurity, cybersecurity, flexibility, collaboration, flexibility, innovation, cybersecurity, programming, cybersecurity, cybersecurity innovation, cybersecurity, flexibility, collaboration, testing, java, react, innovation, collaboration, innovation innovation, cybersecurity, flexibility, python, innovation, collaboration, innovation testing, javascript, react, css, writing, networking, networking cybersecurity, cybersecurity, flexibility, collaboration, flexibility, innovation, cybersecurity, cybersecurity, cybersecurity, java testing, leadership, collaboration, programming, networking, agile cybersecurity, php, agile, laravel, php, php, programming, laravel, php, writing, agile"
Consumer Electronics,"communication, sql, programming, communication, php, problem-solving devops, devops, testing, python, scripting, jenkins, automation, virtualization, automation, ansible, c++"
Consumer Services,"c#, testing, flexibility communication, planning, algorithms, go python, ruby, innovation react, react, node.js, javascript, css, html, flexibility collaboration, innovation, flexibility, node.js, php, sql, agile, microservices, empathy testing, node.js, communication, empathy, communication"
Data Infrastructure and Analytics,"blockchain, java, typescript, python"
Defense & Space,"hardware, testing, hardware"
