industry_name,unique_skills
Advertising Services,"agile, automation, c, collaboration, containerization, css, cybersecurity, debugging, devops, docker, flexibility, go, innovation, java, javascript, leadership, nosql, programming, python, resilience, sql, virtualization, writing"
Agricultural Chemical Manufacturing,"agile, initiative, leadership, writing"
Airlines and Aviation,"c, communication, debugging, hardware, organization, problem, programming, python, solving, teamwork, writing"
"Appliances, Electrical, and Electronics Manufacturing","agile, algorithms, c, collaboration, communication, debugging, decision, flexibility, hardware, innovation, interpersonal, java, leadership, making, microservices, networking, organization, planning, programming, scripting, testing"
Automation Machinery Manufacturing,"automation, bash, docker, jenkins, programming, python, sql, testing, writing"
Automotive,"c, communication, innovation, testing, typescript"
Aviation and Aerospace Component Manufacturing,"agile, bash, c, communication, containerization, debugging, devops, hardware, interpersonal, java, javascript, kubernetes, networking, planning, python, scripting, testing, typescript, writing"
Banking,"agile, automation, collaboration, devops, flexibility, microservices, problem, solving, testing, writing"
Biotechnology,"collaboration, communication, innovation"
Biotechnology Research,"agile, c, collaboration, docker, hardware, initiative, innovation, leadership, organization, problem, programming, python, scripting, solving, testing"
Book and Periodical Publishing,"adaptability, containerization, organization, terraform, testing"
Broadcast Media Production and Distribution,"collaboration, communication, innovation, problem, programming, solving"
Business Consulting and Services,"agile, automation, c, collaboration, communication, debugging, devops, hardware, innovation, interpersonal, java, leadership, networking, organization, programming, python, rust, testing, writing"
Chemical Manufacturing,"communication, initiative, interpersonal, organization, problem, programming, solving, testing"
Civil Engineering,"agile, c, docker, java, programming"
Computer Games,"agile, blockchain, c, communication, networking, planning, problem, programming, solving, sql, testing"
Computer Hardware Manufacturing,"communication, hardware, problem, rust, solving, teamwork"
Computer Networking,"automation, leadership, networking, organization, planning, programming, python, testing"
Computer Networking Products,"debugging, kubernetes, networking, programming, testing"
Computer and Network Security,"agile, algorithms, angular, collaboration, communication, css, cybersecurity, devops, flexibility, go, innovation, java, javascript, js, kubernetes, laravel, leadership, networking, node, nosql, organization, php, problem, programming, python, react, ruby, solving, teamwork, testing, writing"
Consumer Electronics,"ansible, automation, c, communication, devops, jenkins, php, problem, programming, python, scripting, solving, sql, testing, virtualization"
Consumer Services,"agile, algorithms, c, collaboration, communication, css, empathy, flexibility, go, html, innovation, javascript, js, microservices, node, php, planning, python, react, ruby, sql, testing"
Data Infrastructure and Analytics,"blockchain, java, python, typescript"
Defense & Space,"hardware, testing"
Defense and Space Manufacturing,"agile, algorithms, automation, bash, c, collaboration, communication, containerization, creativity, cybersecurity, debugging, decision, devops, docker, express, flexibility, hadoop, hardware, initiative, innovation, interpersonal, java, javascript, kubernetes, leadership, making, multitasking, networking, organization, planning, presentation, problem, programming, python, resilience, ruby, rust, scripting, solving, spring, swift, teamwork, testing, virtualization, writing"
Design Services,"agile, collaboration, communication, hardware, interpersonal, javascript, leadership, programming, react, ruby, spark, testing"
E-Learning Providers,"agile, collaboration, creativity, problem, programming, python, solving, writing"
Education Administration Programs,"automation, empathy"
Engineering Services,"agile, algorithms, automation, c, collaboration, communication, debugging, devops, hardware, interpersonal, java, leadership, problem, programming, python, solving, sql, teamwork, testing"
Entertainment Providers,"agile, algorithms, automation, c, collaboration, communication, creativity, css, debugging, docker, express, flexibility, go, hadoop, html, innovation, interpersonal, java, javascript, js, kubernetes, leadership, microservices, node, nosql, planning, problem, programming, react, solving, spring, sql, testing, writing"
Environmental Services,"agile, communication, react, testing, typescript"
Facilities Services,"algorithms, testing"
Farming,"devops, docker"
Financial Services,"agile, algorithms, angular, automation, blockchain, bootstrap, c, collaboration, communication, containerization, css, cybersecurity, debugging, decision, devops, docker, flexibility, go, initiative, innovation, interpersonal, java, javascript, jenkins, js, kafka, kotlin, kubernetes, leadership, making, microservices, motivation, networking, node, nosql, organization, planning, presentation, problem, programming, python, react, rust, scripting, solving, spark, spring, sql, swift, teamwork, terraform, testing, typescript, writing"
Food and Beverage Manufacturing,"devops, leadership, microservices, problem, react, solving"
Food and Beverage Services,"agile, angular, collaboration, communication, css, flexibility, innovation, javascript, leadership, planning, programming, ruby, sql, teamwork, tensorflow, testing, writing"
Higher Education,"automation, communication, debugging, decision, devops, flexibility, hardware, html, innovation, interpersonal, java, leadership, making, organization, planning, problem, programming, python, react, scripting, solving, sql, testing, writing"
Hospitality,"agile, automation, communication, interpersonal, leadership, problem, programming, python, solving, spring, testing"
